Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i5-1035G1,107,72.4,363,https://cpu.userbenchmark.com/SpeedTest/895407/IntelR-CoreTM-i5-1035G1-CPU---100GHz
CPU,BX80648I75820K,Intel,Core i7-5820K,108,72.4,67374,https://cpu.userbenchmark.com/Intel-Core-i7-5820K/Rating/2579
CPU,,Intel,Xeon E3-1286 v3,109,72.4,18,https://cpu.userbenchmark.com/SpeedTest/33047/IntelR-XeonR-CPU-E3-1286-v3---370GHz
CPU,,Intel,Core i5-8279U,110,72.3,36,https://cpu.userbenchmark.com/SpeedTest/807756/IntelR-CoreTM-i5-8279U-CPU---240GHz
CPU,YD2700BBAFBOX,AMD,Ryzen 7 2700,111,72.1,47020,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700/Rating/3957
CPU,,Intel,Xeon E5-1650 v3,112,72.1,2688,https://cpu.userbenchmark.com/SpeedTest/16320/IntelR-XeonR-CPU-E5-1650-v3---350GHz
CPU,BX80633I74960X,Intel,Core i7-4960X,113,71.8,2749,https://cpu.userbenchmark.com/Intel-Core-i7-4960X/Rating/1977
CPU,BX80646I54670K,Intel,Core i5-4670K,114,71.7,92082,https://cpu.userbenchmark.com/Intel-Core-i5-4670K/Rating/1538
CPU,YD250XBBM4KAF,AMD,Ryzen 5 2500X,115,71.3,454,https://cpu.userbenchmark.com/SpeedTest/567224/AMD-Ryzen-5-2500X-Quad-Core-Processor
CPU,FH8067703417418,Intel,Core i7-8706G,116,70.7,100,https://cpu.userbenchmark.com/SpeedTest/518066/IntelR-CoreTM-i7-8706G-CPU---310GHz
CPU,BX80646I74770K,Intel,Core i7-4770K,117,70.6,105909,https://cpu.userbenchmark.com/Intel-Core-i7-4770K/Rating/1537
CPU,BX80677I57600T,Intel,Core i5-7600T,118,70.6,198,https://cpu.userbenchmark.com/SpeedTest/246226/IntelR-CoreTM-i5-7600T-CPU---280GHz
CPU,BX80684I38100,Intel,Core i3-8100,119,70.6,55400,https://cpu.userbenchmark.com/Intel-Core-i3-8100/Rating/3942
CPU,,Intel,Core i5-1035G4,120,70.6,559,https://cpu.userbenchmark.com/SpeedTest/921077/IntelR-CoreTM-i5-1035G4-CPU---110GHz
CPU,,Intel,Core i7-5950HQ,121,70.2,136,https://cpu.userbenchmark.com/SpeedTest/29765/IntelR-CoreTM-i7-5950HQ-CPU---290GHz
